symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
T1512,20150713,96.5,96.59,96.195,96.385,188,2212.0,18123.145,96.355,96.41,T
T1603,20150713,97.255,97.395,96.6,96.9,102,242.0,9895.455,96.9,96.87,T
T1509,20150714,95.815,95.815,95.38,95.575,2819,18158.0,269371.48,95.59,95.76,T
T1512,20150714,96.395,96.4,96.0,96.075,178,2308.0,17123.26,96.125,96.355,T
T1603,20150714,96.545,96.94,96.545,96.57,114,334.0,11024.695,96.585,96.9,T
T1509,20150715,95.38,95.58,95.28,95.445,4830,19208.0,460783.74,95.43,95.59,T
T1512,20150715,95.95,96.1,95.825,95.87,612,2582.0,58701.095,95.86,96.125,T
T1603,20150715,96.48,96.525,96.415,96.5,243,523.0,23443.605,96.46,96.585,T
T1509,20150716,95.78,95.78,95.48,95.75,2096,19842.0,200492.985,95.7,95.43,T
T1512,20150716,96.0,96.205,95.98,96.2,238,2742.0,22876.49,96.16,95.86,T
T1603,20150716,96.58,96.62,96.425,96.54,235,685.0,22682.265,96.52,96.46,T
T1509,20150717,95.75,95.91,95.615,95.8,2088,19896.0,199983.055,95.775,95.7,T
T1512,20150717,96.325,96.39,96.1,96.26,403,3001.0,38792.955,96.2,96.16,T
T1603,20150717,96.8,96.86,96.45,96.525,230,868.0,22214.58,96.505,96.52,T
T1509,20150720,95.81,95.93,95.67,95.75,1501,20025.0,143767.61,95.765,95.775,T
T1512,20150720,96.175,96.33,96.16,96.22,189,3146.0,18186.495,96.21,96.2,T
T1603,20150720,96.6,96.6,96.48,96.54,189,1032.0,18250.035,96.505,96.505,T
T1509,20150721,95.7,95.75,95.525,95.54,2456,19369.0,234829.705,95.58,95.765,T
T1512,20150721,96.135,96.16,95.97,95.98,168,3235.0,16139.54,96.03,96.21,T
T1603,20150721,96.45,96.5,96.225,96.255,179,1171.0,17251.145,96.31,96.505,T
T1509,20150722,95.54,95.73,95.38,95.63,1755,19343.0,167833.81,95.63,95.58,T
T1512,20150722,95.92,96.19,95.91,96.045,178,3345.0,17101.47,96.055,96.03,T
T1603,20150722,96.295,96.415,96.295,96.31,38,1200.0,3661.545,96.33,96.31,T
T1509,20150723,95.775,95.965,95.71,95.91,2422,19331.0,232206.565,95.895,95.63,T
T1512,20150723,96.0,96.42,96.0,96.335,466,3688.0,44900.67,96.375,96.055,T
T1603,20150723,96.49,96.7,96.48,96.7,184,1334.0,17778.035,96.675,96.33,T
T1509,20150724,95.98,96.16,95.83,95.86,2769,18927.0,265829.355,95.895,95.895,T
T1512,20150724,96.375,96.56,96.3,96.36,384,3862.0,37017.82,96.345,96.375,T
T1603,20150724,96.85,96.85,96.6,96.7,43,1358.0,4157.555,96.68,96.675,T
T1509,20150727,95.895,96.04,95.58,96.04,1795,18672.0,172093.11,95.955,95.895,T
T1512,20150727,96.405,96.45,96.165,96.45,365,4008.0,35161.505,96.405,96.345,T
T1603,20150727,96.67,96.745,96.67,96.69,18,1367.0,1740.46,96.69,96.68,T
T1509,20150728,96.0,96.13,95.885,96.03,2517,18066.0,241643.15,96.05,95.955,T
T1512,20150728,96.475,96.58,96.34,96.5,690,4418.0,66592.39,96.54,96.405,T
T1603,20150728,96.69,96.85,96.65,96.76,91,1395.0,8807.65,96.79,96.69,T
T1509,20150729,96.045,96.175,95.955,96.11,1653,18072.0,158823.985,96.105,96.05,T
T1512,20150729,96.43,96.6,96.41,96.55,544,4762.0,52520.81,96.55,96.54,T
T1603,20150729,96.885,96.92,96.82,96.835,12,1405.0,1162.195,96.835,96.79,T
T1509,20150730,96.13,96.17,95.78,95.98,1750,17760.0,168047.73,96.0,96.105,T
T1512,20150730,96.51,96.595,96.3,96.44,695,5238.0,67064.53,96.485,96.55,T
T1603,20150730,96.74,96.85,96.72,96.8,40,1435.0,3872.34,96.795,96.835,T
T1509,20150731,96.1,96.1,95.45,95.545,3591,17400.0,343602.005,95.545,96.0,T
T1512,20150731,96.585,96.585,95.955,96.045,1082,5857.0,104004.895,96.04,96.485,T
T1603,20150731,96.765,96.775,96.31,96.31,57,1417.0,5499.425,96.335,96.795,T
T1509,20150803,95.355,95.715,95.355,95.555,2937,15898.0,280687.74,95.545,95.545,T
T1512,20150803,96.025,96.2,95.915,96.03,1131,6683.0,108669.16,96.015,96.04,T
T1603,20150803,96.35,96.565,96.34,96.38,111,1496.0,10710.33,96.36,96.335,T
T1509,20150804,95.555,95.84,95.555,95.71,2411,15646.0,230782.02,95.69,95.545,T
T1512,20150804,96.14,96.275,96.055,96.125,1674,7634.0,160981.995,96.115,96.015,T
T1603,20150804,96.545,96.655,96.515,96.58,83,1525.0,8016.75,96.59,96.36,T
T1509,20150805,95.725,95.795,95.57,95.605,2097,15258.0,200586.33,95.595,95.69,T
T1512,20150805,96.185,96.2,95.965,96.01,988,8249.0,94882.83,95.99,96.115,T
T1603,20150805,96.6,96.62,96.37,96.37,204,1629.0,19680.055,96.375,96.59,T
T1509,20150806,95.545,95.885,95.5,95.875,1949,14831.0,186445.07,95.76,95.595,T
T1512,20150806,96.05,96.22,95.96,96.205,1077,9037.0,103459.535,96.155,95.99,T
T1603,20150806,96.37,96.6,96.37,96.6,209,1782.0,20160.84,96.56,96.375,T
T1509,20150807,95.805,95.94,95.7,95.915,2397,14093.0,229705.12,95.825,95.76,T
T1512,20150807,96.24,96.3,96.055,96.25,1499,9806.0,144193.85,96.16,96.155,T
T1603,20150807,96.625,96.715,96.515,96.715,314,2052.0,30345.1,96.61,96.56,T
T1509,20150810,95.93,95.98,95.6,95.675,2362,12881.0,226115.515,95.655,95.825,T
T1512,20150810,96.375,96.38,95.94,95.975,1495,10581.0,143617.36,95.985,96.16,T
T1603,20150810,96.78,96.78,96.44,96.45,223,2128.0,21530.56,96.49,96.61,T
T1509,20150811,95.605,95.7,95.16,95.19,3576,12149.0,340982.295,95.23,95.655,T
T1512,20150811,95.985,96.035,95.45,95.455,2085,11040.0,199313.6,95.5,95.985,T
T1603,20150811,96.2,96.25,95.94,95.94,323,2284.0,31052.615,95.99,96.49,T
T1509,20150812,95.12,95.345,94.8,95.33,3719,10852.0,353695.565,95.27,95.23,T
T1512,20150812,95.55,95.635,95.0,95.615,3483,12002.0,332039.04,95.55,95.5,T
T1603,20150812,95.815,96.125,95.71,96.125,310,2466.0,29718.77,96.01,95.99,T
T1509,20150813,95.33,95.405,95.18,95.325,1660,10465.0,158203.76,95.325,95.27,T
T1512,20150813,95.615,95.675,95.45,95.52,1843,12563.0,176090.155,95.505,95.55,T
T1603,20150813,96.015,96.205,95.925,95.98,158,2538.0,15177.0,95.995,96.01,T
T1509,20150814,95.325,95.48,95.25,95.475,2421,9178.0,230923.625,95.405,95.325,T
T1512,20150814,95.535,95.69,95.445,95.64,2725,13987.0,260491.105,95.615,95.505,T
T1603,20150814,95.97,96.22,95.97,96.115,319,2640.0,30678.665,96.1,95.995,T
T1509,20150817,95.38,95.39,95.08,95.12,3227,7220.0,307072.805,95.135,95.405,T
T1512,20150817,95.115,95.45,95.115,95.32,2941,14943.0,280451.655,95.35,95.615,T
T1603,20150817,95.855,95.945,95.745,95.775,38,2632.0,3642.21,95.815,96.1,T
T1509,20150818,95.17,95.51,95.11,95.505,3189,5958.0,303840.93,95.425,95.135,T
T1512,20150818,95.425,95.49,95.255,95.485,3399,15246.0,324253.76,95.43,95.35,T
T1603,20150818,95.86,95.9,95.78,95.9,128,2700.0,12269.98,95.87,95.815,T
T1509,20150819,95.42,95.545,95.36,95.465,1823,4882.0,174027.385,95.45,95.425,T
T1512,20150819,95.52,95.52,95.235,95.37,3266,15588.0,311344.62,95.36,95.43,T
T1603,20150819,95.915,95.915,95.63,95.65,214,2752.0,20484.71,95.665,95.87,T
T1509,20150820,95.495,95.495,95.385,95.45,1073,4066.0,102414.085,95.455,95.45,T
T1512,20150820,95.335,95.455,95.285,95.45,1669,15292.0,159211.92,95.43,95.36,T
T1603,20150820,95.65,96.705,95.635,95.7,38,2767.0,3636.015,95.805,95.665,T
