symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TS1903,20181018,,,,99.37,0,44.0,0.0,99.535,99.505,TS
TS1906,20181018,,,,98.895,0,8.0,0.0,99.245,99.215,TS
TS1812,20181019,99.525,99.56,99.47,99.49,277,3103.0,55129.27,99.49,99.545,TS
TS1903,20181019,,,,99.37,0,44.0,0.0,99.48,99.535,TS
TS1906,20181019,,,,98.895,0,8.0,0.0,99.19,99.245,TS
TS1812,20181022,99.45,99.46,99.43,99.44,172,3101.0,34208.62,99.44,99.49,TS
TS1903,20181022,,,,99.37,0,44.0,0.0,99.43,99.48,TS
TS1906,20181022,,,,98.895,0,8.0,0.0,99.14,99.19,TS
TS1812,20181023,99.41,99.49,99.41,99.485,153,3038.0,30434.73,99.48,99.44,TS
TS1903,20181023,,,,99.37,0,44.0,0.0,99.47,99.43,TS
TS1906,20181023,,,,98.895,0,8.0,0.0,99.18,99.14,TS
TS1812,20181024,99.47,99.51,99.47,99.505,73,3020.0,14525.29,99.5,99.48,TS
TS1903,20181024,99.505,99.505,99.505,99.505,1,44.0,199.01,99.505,99.47,TS
TS1906,20181024,,,,98.895,0,8.0,0.0,99.2,99.18,TS
TS1812,20181025,99.55,99.6,99.52,99.53,114,3006.0,22693.57,99.52,99.5,TS
TS1903,20181025,,,,99.505,0,44.0,0.0,99.525,99.505,TS
TS1906,20181025,,,,98.895,0,8.0,0.0,99.22,99.2,TS
TS1812,20181026,99.515,99.54,99.505,99.53,57,2990.0,11345.79,99.53,99.52,TS
TS1903,20181026,,,,99.505,0,44.0,0.0,99.535,99.525,TS
TS1906,20181026,,,,98.895,0,8.0,0.0,99.23,99.22,TS
TS1812,20181029,99.55,99.625,99.53,99.615,179,2972.0,35648.58,99.605,99.53,TS
TS1903,20181029,,,,99.505,0,44.0,0.0,99.61,99.535,TS
TS1906,20181029,,,,98.895,0,8.0,0.0,99.305,99.23,TS
TS1812,20181030,99.65,99.65,99.565,99.61,249,2907.0,49600.19,99.605,99.605,TS
